"Site_Name","Year","Common_Name","Ambient_Noise","Detection_Count"
"Dingmans Creek 30",2017,"Hairy Woodpecker",47,1
"Dingmans Creek 30",2019,"Downy Woodpecker",51.25,1
"Dingmans Creek 30",2023,"Downy Woodpecker",40.5,1
"Dingmans Creek 30",2023,"Hairy Woodpecker",39.5,1
"Dingmans Creek 30",2023,"Pileated Woodpecker",39.25,1
"Dingmans Creek 30",2023,"Pileated Woodpecker",39.5,1
"Dingmans Creek 30",2023,"Red-bellied Woodpecker",36.5,1
"Dingmans Creek 30",2023,"Red-bellied Woodpecker",51.5,1
"Dingmans Creek 30",2025,"Downy Woodpecker",42.5,1
"Dingmans Creek 30",2025,"Downy Woodpecker",43.25,1
"Dingmans Creek 30",2025,"Hairy Woodpecker",40.25,1
"Dingmans Creek 30",2025,"Red-bellied Woodpecker",40.25,1
"Dingmans Creek 30",2025,"Red-bellied Woodpecker",43.25,1
"Dingmans Creek 30",2025,"Red-bellied Woodpecker",44,1
"Dingmans Creek 39",2014,"Downy Woodpecker",42.5,1
"Dingmans Creek 39",2014,"Downy Woodpecker",44,1
"Dingmans Creek 39",2014,"Hairy Woodpecker",45.75,1
"Dingmans Creek 39",2014,"Hairy Woodpecker",47,1
"Dingmans Creek 39",2014,"Pileated Woodpecker",40.75,1
"Dingmans Creek 39",2016,"Downy Woodpecker",40.5,3
"Dingmans Creek 39",2016,"Downy Woodpecker",41,2
"Dingmans Creek 39",2016,"Hairy Woodpecker",41,1
"Dingmans Creek 39",2016,"Hairy Woodpecker",41.5,2
"Dingmans Creek 39",2016,"Red-bellied Woodpecker",39,1
"Dingmans Creek 39",2016,"Red-bellied Woodpecker",40.5,1
"Dingmans Creek 39",2016,"Red-bellied Woodpecker",41,3
"Dingmans Creek 39",2018,"Downy Woodpecker",44,2
"Dingmans Creek 39",2018,"Red-bellied Woodpecker",46.25,1
"Dingmans Creek 39",2022,"Downy Woodpecker",48.25,1
"Dingmans Creek 39",2024,"Downy Woodpecker",49.5,2
"Dingmans Creek 39",2024,"Downy Woodpecker",49.75,1
"Dingmans Creek 39",2024,"Hairy Woodpecker",47.75,1
"Dingmans Creek 39",2024,"Hairy Woodpecker",48,1
"Dingmans Creek 39",2024,"Hairy Woodpecker",49.75,1
"Dingmans Creek 57",2014,"Hairy Woodpecker",60,1
"Dingmans Creek 57",2014,"Pileated Woodpecker",51.75,1
"Dingmans Creek 57",2016,"Downy Woodpecker",43.5,1
"Dingmans Creek 57",2016,"Downy Woodpecker",43.75,2
"Dingmans Creek 57",2016,"Downy Woodpecker",45,2
"Dingmans Creek 57",2016,"Downy Woodpecker",54.25,1
"Dingmans Creek 57",2016,"Downy Woodpecker",54.5,1
"Dingmans Creek 57",2016,"Hairy Woodpecker",46.75,1
"Dingmans Creek 57",2016,"Pileated Woodpecker",44.5,1
"Dingmans Creek 57",2022,"Downy Woodpecker",45.5,1
"Dingmans Creek 57",2022,"Downy Woodpecker",57.25,1
"Dingmans Creek 57",2022,"Hairy Woodpecker",46,1
"Dingmans Creek 57",2022,"Red-bellied Woodpecker",54.75,1
"Dingmans Creek 57",2024,"Downy Woodpecker",44,2
"Dingmans Creek 57",2024,"Downy Woodpecker",44.25,1
"Dingmans Creek 57",2024,"Downy Woodpecker",47,1
"Dingmans Creek 57",2024,"Downy Woodpecker",55.25,1
"Dingmans Creek 57",2024,"Downy Woodpecker",57.25,2
"Dingmans Creek 57",2024,"Red-bellied Woodpecker",47.25,1
"Dunnfield Creek 03",2014,"Red-bellied Woodpecker",59.75,1
"Dunnfield Creek 03",2016,"Downy Woodpecker",50.25,1
"Dunnfield Creek 03",2018,"Downy Woodpecker",55.5,1
"Dunnfield Creek 03",2018,"Downy Woodpecker",59.25,1
"Dunnfield Creek 03",2018,"Hairy Woodpecker",52.25,1
"Dunnfield Creek 03",2022,"Downy Woodpecker",52,1
"Dunnfield Creek 03",2022,"Pileated Woodpecker",62,1
"Dunnfield Creek 03",2024,"Downy Woodpecker",52.75,1
"Dunnfield Creek 03",2024,"Downy Woodpecker",53,1
"Dunnfield Creek 03",2024,"Downy Woodpecker",55.5,1
"Dunnfield Creek 03",2024,"Red-bellied Woodpecker",55.25,1
"Dunnfield Creek 03",2024,"Red-bellied Woodpecker",55.5,1
"Dunnfield Creek 26",2015,"Hairy Woodpecker",51.5,2
"Dunnfield Creek 26",2017,"Downy Woodpecker",39.25,1
"Dunnfield Creek 26",2017,"Pileated Woodpecker",45.75,1
"Dunnfield Creek 26",2017,"Pileated Woodpecker",46,1
"Dunnfield Creek 26",2017,"Red-bellied Woodpecker",38.5,1
"Dunnfield Creek 26",2019,"Pileated Woodpecker",48.25,1
"Dunnfield Creek 26",2023,"Hairy Woodpecker",37.5,1
"Dunnfield Creek 26",2023,"Pileated Woodpecker",36.5,1
"Dunnfield Creek 26",2023,"Pileated Woodpecker",36.75,1
"Dunnfield Creek 26",2023,"Red-bellied Woodpecker",36.5,1
"Dunnfield Creek 26",2023,"Red-bellied Woodpecker",36.75,1
"Dunnfield Creek 26",2025,"Downy Woodpecker",47.5,1
"Dunnfield Creek 26",2025,"Pileated Woodpecker",42.75,1
"Dunnfield Creek 26",2025,"Pileated Woodpecker",45.5,1
"Dunnfield Creek 26",2025,"Red-bellied Woodpecker",39.75,1
"Hornbecks Creek 15",2017,"Downy Woodpecker",40.5,2
"Hornbecks Creek 15",2017,"Downy Woodpecker",41.25,1
"Hornbecks Creek 15",2017,"Downy Woodpecker",42,1
"Hornbecks Creek 15",2019,"Pileated Woodpecker",43,1
"Hornbecks Creek 15",2023,"Downy Woodpecker",39.25,1
"Hornbecks Creek 15",2023,"Pileated Woodpecker",39,1
"Hornbecks Creek 15",2025,"Downy Woodpecker",40.5,1
"Hornbecks Creek 15",2025,"Downy Woodpecker",52.75,1
"Hornbecks Creek 15",2025,"Hairy Woodpecker",37.5,1
"Hornbecks Creek 15",2025,"Pileated Woodpecker",37.5,1
"Hornbecks Creek 15",2025,"Pileated Woodpecker",38.5,2
"Hornbecks Creek 15",2025,"Pileated Woodpecker",53,1
"Hornbecks Creek 15",2025,"Red-bellied Woodpecker",40.5,1
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",44.25,1
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",44.5,1
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",48,1
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",50.75,1
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",52.5,1
"Little Bushkill Creek 01",2014,"Red-bellied Woodpecker",50.75,1
"Little Bushkill Creek 01",2016,"Downy Woodpecker",41,1
"Little Bushkill Creek 01",2016,"Downy Woodpecker",45,1
"Little Bushkill Creek 01",2016,"Downy Woodpecker",52.5,1
"Little Bushkill Creek 01",2016,"Red-bellied Woodpecker",41,1
"Little Bushkill Creek 01",2016,"Red-bellied Woodpecker",41.5,2
"Little Bushkill Creek 01",2016,"Red-bellied Woodpecker",52.5,1
"Little Bushkill Creek 01",2018,"Downy Woodpecker",53.5,2
"Little Bushkill Creek 01",2018,"Downy Woodpecker",53.75,1
"Little Bushkill Creek 01",2018,"Red-bellied Woodpecker",48.25,1
"Little Bushkill Creek 01",2022,"Hairy Woodpecker",45.5,1
"Little Bushkill Creek 01",2022,"Pileated Woodpecker",53.5,1
"Little Bushkill Creek 01",2022,"Red-bellied Woodpecker",47.25,2
"Little Bushkill Creek 01",2022,"Red-bellied Woodpecker",48,1
"Little Bushkill Creek 01",2024,"Downy Woodpecker",45.25,4
"Little Bushkill Creek 01",2024,"Downy Woodpecker",51.5,1
"Little Bushkill Creek 01",2024,"Downy Woodpecker",52.25,1
"Little Bushkill Creek 01",2024,"Hairy Woodpecker",51,1
"Little Bushkill Creek 01",2024,"Pileated Woodpecker",51.25,1
"Little Bushkill Creek 01",2024,"Red-bellied Woodpecker",45,1
"Little Bushkill Creek 01",2024,"Red-bellied Woodpecker",46.75,2
"Little Bushkill Creek 01",2024,"Red-bellied Woodpecker",47.75,1
"Little Bushkill Creek 01",2024,"Red-bellied Woodpecker",51.25,2
"Mill Creek 12 (DEWA)",2017,"Pileated Woodpecker",38.25,1
"Mill Creek 12 (DEWA)",2017,"Pileated Woodpecker",41.25,1
"Mill Creek 12 (DEWA)",2017,"Pileated Woodpecker",59.25,1
"Mill Creek 12 (DEWA)",2023,"Pileated Woodpecker",40.5,1
"Mill Creek 12 (DEWA)",2023,"Red-bellied Woodpecker",35,1
"Mill Creek 12 (DEWA)",2025,"Downy Woodpecker",46.5,1
"Mill Creek 12 (DEWA)",2025,"Pileated Woodpecker",46.5,1
"Mill Creek 25",2014,"Downy Woodpecker",37.5,1
"Mill Creek 25",2014,"Downy Woodpecker",49.25,1
"Mill Creek 25",2014,"Red-bellied Woodpecker",40,1
"Mill Creek 25",2016,"Downy Woodpecker",36.5,1
"Mill Creek 25",2016,"Downy Woodpecker",37,1
"Mill Creek 25",2016,"Pileated Woodpecker",36,1
"Mill Creek 25",2018,"Downy Woodpecker",39.75,1
"Mill Creek 25",2018,"Downy Woodpecker",40,2
"Mill Creek 25",2018,"Red-bellied Woodpecker",34.75,1
"Mill Creek 25",2018,"Red-bellied Woodpecker",35,1
"Mill Creek 25",2018,"Red-bellied Woodpecker",36.25,2
"Mill Creek 25",2022,"Hairy Woodpecker",43.25,1
"Mill Creek 25",2024,"Downy Woodpecker",40.5,1
"Mill Creek 25",2024,"Downy Woodpecker",41,2
"Mill Creek 25",2024,"Pileated Woodpecker",37.25,2
"Mill Creek 25",2024,"Pileated Woodpecker",38,1
"Mill Creek 25",2024,"Pileated Woodpecker",41,1
"Mill Creek 25",2024,"Red-bellied Woodpecker",38,1
"Raymondskill Creek 13",2017,"Downy Woodpecker",44,1
"Raymondskill Creek 13",2019,"Pileated Woodpecker",59,1
"Raymondskill Creek 13",2023,"Pileated Woodpecker",47,1
"Sand Hill Creek 08",2015,"Hairy Woodpecker",49.25,2
"Sand Hill Creek 08",2015,"Hairy Woodpecker",50.75,1
"Sand Hill Creek 08",2015,"Red-bellied Woodpecker",50,1
"Sand Hill Creek 08",2015,"Red-bellied Woodpecker",50.5,1
"Sand Hill Creek 08",2017,"Downy Woodpecker",42.25,1
"Sand Hill Creek 08",2017,"Downy Woodpecker",48.75,1
"Sand Hill Creek 08",2017,"Downy Woodpecker",51.5,1
"Sand Hill Creek 08",2017,"Pileated Woodpecker",48.5,1
"Sand Hill Creek 08",2017,"Pileated Woodpecker",51.5,1
"Sand Hill Creek 08",2019,"Downy Woodpecker",49.5,1
"Sand Hill Creek 08",2019,"Downy Woodpecker",54.5,1
"Sand Hill Creek 08",2023,"Downy Woodpecker",49.5,1
"Sand Hill Creek 08",2023,"Red-bellied Woodpecker",48.25,1
"Sand Hill Creek 08",2023,"Red-bellied Woodpecker",58,1
"Sand Hill Creek 08",2025,"Downy Woodpecker",41.75,2
"Sand Hill Creek 08",2025,"Downy Woodpecker",42.25,1
"Spackmans Creek 08",2016,"Downy Woodpecker",36.5,2
"Spackmans Creek 08",2016,"Red-bellied Woodpecker",36.5,1
"Spackmans Creek 08",2018,"Downy Woodpecker",34.25,1
"Spackmans Creek 08",2018,"Downy Woodpecker",34.5,1
"Spackmans Creek 08",2018,"Downy Woodpecker",39.75,1
"Spackmans Creek 08",2018,"Hairy Woodpecker",40.25,1
"Spackmans Creek 08",2018,"Pileated Woodpecker",34.5,1
"Spackmans Creek 08",2018,"Pileated Woodpecker",40.5,1
"Spackmans Creek 08",2018,"Red-bellied Woodpecker",34,1
"Spackmans Creek 08",2018,"Red-bellied Woodpecker",35,1
"Spackmans Creek 08",2018,"Red-bellied Woodpecker",40.25,1
"Spackmans Creek 08",2022,"Downy Woodpecker",47.5,1
"Spackmans Creek 08",2022,"Hairy Woodpecker",38,1
"Spackmans Creek 08",2022,"Red-bellied Woodpecker",36,1
"Spackmans Creek 08",2022,"Red-bellied Woodpecker",40.75,1
"Spackmans Creek 08",2022,"Red-bellied Woodpecker",47.5,1
"Spackmans Creek 08",2024,"Downy Woodpecker",36.5,1
"Spackmans Creek 08",2024,"Hairy Woodpecker",39.75,1
"Spackmans Creek 08",2024,"Hairy Woodpecker",40,1
"Spackmans Creek 08",2024,"Pileated Woodpecker",34.25,1
"Spackmans Creek 08",2024,"Pileated Woodpecker",37.5,1
"Spackmans Creek 08",2024,"Red-bellied Woodpecker",36.5,1
"Toms Creek 03",2015,"Pileated Woodpecker",52,1
"Toms Creek 03",2017,"Red-bellied Woodpecker",42.75,1
"Toms Creek 03",2023,"Downy Woodpecker",42.75,1
"Toms Creek 03",2025,"Downy Woodpecker",43.5,1
"Toms Creek 03",2025,"Downy Woodpecker",45.75,1
"Toms Creek 03",2025,"Downy Woodpecker",46.25,1
"Toms Creek 03",2025,"Downy Woodpecker",48.5,1
"Toms Creek 03",2025,"Red-bellied Woodpecker",48.5,1
"Toms Creek 03",2025,"Red-bellied Woodpecker",48.75,2
"Toms Creek 07",2016,"Downy Woodpecker",50.5,1
"Toms Creek 07",2018,"Pileated Woodpecker",42.5,1
"Toms Creek 07",2018,"Pileated Woodpecker",44,1
"Toms Creek 07",2018,"Pileated Woodpecker",48,1
"Toms Creek 07",2022,"Downy Woodpecker",44.5,1
"Toms Creek 07",2022,"Downy Woodpecker",44.75,1
"Toms Creek 07",2022,"Hairy Woodpecker",50.25,1
"Toms Creek 07",2024,"Downy Woodpecker",44.75,1
"Toms Creek 07",2024,"Pileated Woodpecker",42.5,1
"Toms Creek 20",2016,"Downy Woodpecker",38,1
"Toms Creek 20",2016,"Hairy Woodpecker",38.5,1
"Toms Creek 20",2016,"Hairy Woodpecker",39,1
"Toms Creek 20",2016,"Hairy Woodpecker",40,1
"Toms Creek 20",2016,"Red-bellied Woodpecker",39,1
"Toms Creek 20",2018,"Downy Woodpecker",42,1
"Toms Creek 20",2018,"Red-bellied Woodpecker",39.75,1
"Toms Creek 20",2022,"Pileated Woodpecker",44.25,3
"Toms Creek 20",2022,"Pileated Woodpecker",44.5,2
"Toms Creek 20",2022,"Pileated Woodpecker",52.25,1
"Toms Creek 20",2022,"Red-bellied Woodpecker",44.5,1
"Toms Creek 20",2024,"Hairy Woodpecker",41.75,2
"Toms Creek 20",2024,"Hairy Woodpecker",46,1
"Toms Creek 20",2024,"Pileated Woodpecker",46,1
"Toms Creek 25",2015,"Downy Woodpecker",47.75,2
"Toms Creek 25",2017,"Downy Woodpecker",45.25,1
"Toms Creek 25",2017,"Downy Woodpecker",45.75,1
"Toms Creek 25",2017,"Red-bellied Woodpecker",48,1
"Toms Creek 25",2019,"Hairy Woodpecker",48,1
"Toms Creek 25",2023,"Downy Woodpecker",41.5,1
"Toms Creek 25",2023,"Hairy Woodpecker",41,2
"Toms Creek 25",2023,"Hairy Woodpecker",41.75,1
"Toms Creek 25",2023,"Pileated Woodpecker",41.5,2
"Toms Creek 25",2023,"Red-bellied Woodpecker",37.5,1
"Toms Creek 25",2023,"Red-bellied Woodpecker",41.5,1
"Toms Creek 25",2025,"Downy Woodpecker",46.5,2
"Toms Creek 25",2025,"Downy Woodpecker",47,1
"Toms Creek 25",2025,"Downy Woodpecker",51,1
"Toms Creek 25",2025,"Hairy Woodpecker",46.5,1
"Toms Creek 25",2025,"Hairy Woodpecker",48.75,1
"Toms Creek 25",2025,"Hairy Woodpecker",49,1
"Toms Creek 25",2025,"Hairy Woodpecker",50.25,1
"Toms Creek 25",2025,"Hairy Woodpecker",50.5,1
"Toms Creek 25",2025,"Pileated Woodpecker",48.75,1
"Toms Creek 25",2025,"Pileated Woodpecker",49,1
"Toms Creek 25",2025,"Pileated Woodpecker",50.5,1
"Toms Creek 25",2025,"Red-bellied Woodpecker",47,1
"Toms Creek 25",2025,"Red-bellied Woodpecker",49.25,1
"UNT Dingmans Creek 07",2015,"Downy Woodpecker",47,1
"UNT Dingmans Creek 07",2015,"Hairy Woodpecker",44,2
"UNT Dingmans Creek 07",2015,"Pileated Woodpecker",49.5,1
"UNT Dingmans Creek 07",2017,"Downy Woodpecker",49.75,2
"UNT Dingmans Creek 07",2017,"Red-bellied Woodpecker",39.75,1
"UNT Dingmans Creek 07",2019,"Hairy Woodpecker",45,1
"UNT Dingmans Creek 07",2019,"Pileated Woodpecker",46.5,1
"UNT Dingmans Creek 07",2023,"Downy Woodpecker",34.5,1
"UNT Dingmans Creek 07",2023,"Downy Woodpecker",36,2
"UNT Dingmans Creek 07",2023,"Downy Woodpecker",39,1
"UNT Dingmans Creek 07",2023,"Downy Woodpecker",42,1
"UNT Dingmans Creek 07",2023,"Hairy Woodpecker",39,1
"UNT Dingmans Creek 07",2023,"Pileated Woodpecker",34.25,1
"UNT Dingmans Creek 07",2023,"Pileated Woodpecker",37.75,1
"UNT Dingmans Creek 07",2023,"Red-bellied Woodpecker",35.5,1
"UNT Dingmans Creek 07",2023,"Red-bellied Woodpecker",38,1
"UNT Dingmans Creek 07",2023,"Red-bellied Woodpecker",42,1
"UNT Dingmans Creek 07",2025,"Downy Woodpecker",48,1
"UNT Dingmans Creek 07",2025,"Hairy Woodpecker",47.75,1
"UNT Dingmans Creek 07",2025,"Hairy Woodpecker",48,1
"UNT Dingmans Creek 07",2025,"Pileated Woodpecker",39.25,1
"UNT Dingmans Creek 07",2025,"Red-bellied Woodpecker",37.5,1
"UNT Dingmans Creek 07",2025,"Red-bellied Woodpecker",39.25,1
"UNT Dingmans Creek 07",2025,"Red-bellied Woodpecker",40,2
"UNT Vancampens Brook 05",2015,"Hairy Woodpecker",47.5,1
"UNT Vancampens Brook 05",2015,"Hairy Woodpecker",49.5,1
"UNT Vancampens Brook 05",2015,"Red-bellied Woodpecker",47.75,1
"UNT Vancampens Brook 05",2015,"Red-bellied Woodpecker",49.25,1
"UNT Vancampens Brook 05",2017,"Downy Woodpecker",41.5,2
"UNT Vancampens Brook 05",2019,"Hairy Woodpecker",47.5,1
"UNT Vancampens Brook 05",2019,"Hairy Woodpecker",48.25,1
"UNT Vancampens Brook 05",2025,"Hairy Woodpecker",39.5,1
"UNT Vancampens Brook 05",2025,"Pileated Woodpecker",46.25,1
"UNT Vancampens Brook 05",2025,"Red-bellied Woodpecker",46.25,1
"UNT Vancampens Brook 05",2025,"Red-bellied Woodpecker",47.5,1
"Van Campen Creek 12",2014,"Red-bellied Woodpecker",40.25,1
"Van Campen Creek 12",2016,"Downy Woodpecker",37.5,1
"Van Campen Creek 12",2016,"Pileated Woodpecker",39,1
"Van Campen Creek 12",2018,"Downy Woodpecker",35,2
"Van Campen Creek 12",2018,"Downy Woodpecker",38,1
"Van Campen Creek 12",2022,"Downy Woodpecker",40.25,1
"Van Campen Creek 12",2022,"Pileated Woodpecker",39.75,1
"Van Campen Creek 12",2022,"Red-bellied Woodpecker",40.25,1
"Van Campen Creek 12",2024,"Downy Woodpecker",38.75,1
"Van Campen Creek 12",2024,"Downy Woodpecker",41.75,1
"Van Campen Creek 12",2024,"Hairy Woodpecker",41.75,1
"Vancampens Brook 22",2017,"Downy Woodpecker",43.5,1
"Vancampens Brook 22",2017,"Red-bellied Woodpecker",43.25,1
"Vancampens Brook 22",2019,"Pileated Woodpecker",44.5,1
"Vancampens Brook 22",2023,"Red-bellied Woodpecker",43.75,1
"Vancampens Brook 22",2025,"Red-bellied Woodpecker",38.5,2
"Vancampens Brook 43",2014,"Downy Woodpecker",45.25,1
"Vancampens Brook 43",2014,"Pileated Woodpecker",54,1
"Vancampens Brook 43",2014,"Red-bellied Woodpecker",47.75,1
"Vancampens Brook 43",2016,"Downy Woodpecker",37.5,3
"Vancampens Brook 43",2016,"Downy Woodpecker",38,2
"Vancampens Brook 43",2016,"Downy Woodpecker",46.25,1
"Vancampens Brook 43",2016,"Pileated Woodpecker",36.25,1
"Vancampens Brook 43",2016,"Red-bellied Woodpecker",38,1
"Vancampens Brook 43",2016,"Red-bellied Woodpecker",46.75,1
"Vancampens Brook 43",2016,"Red-bellied Woodpecker",47,1
"Vancampens Brook 43",2018,"Downy Woodpecker",38,1
"Vancampens Brook 43",2018,"Pileated Woodpecker",36,2
"Vancampens Brook 43",2018,"Pileated Woodpecker",44.25,1
"Vancampens Brook 43",2018,"Pileated Woodpecker",45,1
"Vancampens Brook 43",2022,"Downy Woodpecker",43,2
"Vancampens Brook 43",2022,"Red-bellied Woodpecker",43,2
"Vancampens Brook 43",2022,"Red-bellied Woodpecker",44.25,1
"Vancampens Brook 43",2024,"Downy Woodpecker",43,1
"Vancampens Brook 43",2024,"Hairy Woodpecker",41.75,1
"Vancampens Brook 43",2024,"Red-bellied Woodpecker",41.75,1
"Vancampens Brook 43",2024,"Red-bellied Woodpecker",42.25,1
"Vancampens Brook 43",2024,"Red-bellied Woodpecker",43,3
"Vancampens Brook 76",2015,"Downy Woodpecker",47,1
"Vancampens Brook 76",2015,"Hairy Woodpecker",46.5,2
"Vancampens Brook 76",2017,"Hairy Woodpecker",33.75,1
"Vancampens Brook 76",2017,"Hairy Woodpecker",37.25,1
"Vancampens Brook 76",2017,"Pileated Woodpecker",37.25,1
"Vancampens Brook 76",2017,"Red-bellied Woodpecker",33.5,1
"Vancampens Brook 76",2019,"Hairy Woodpecker",46.5,1
"Vancampens Brook 76",2019,"Pileated Woodpecker",41.5,1
"Vancampens Brook 76",2019,"Pileated Woodpecker",43.25,1
"Vancampens Brook 76",2023,"Downy Woodpecker",35,1
"Vancampens Brook 76",2023,"Downy Woodpecker",38,1
"Vancampens Brook 76",2023,"Hairy Woodpecker",33,1
"Vancampens Brook 76",2023,"Hairy Woodpecker",35.5,1
"Vancampens Brook 76",2023,"Pileated Woodpecker",35,1
