"National_Park","Site_Name","Detection_Date","Observer_Initials","Common_Name","Ambient_Noise","Road_Noise","Hemlock_Condition_Score","Detection_Count"
"ALPO","Millstone Run",2017-06-22,"MRM","Red-bellied Woodpecker",43.5,FALSE,0,1
"ALPO","Millstone Run",2019-06-05,"MRM","Downy Woodpecker",40,FALSE,0,1
"ALPO","Millstone Run",2019-06-05,"MRM","Hairy Woodpecker",47,FALSE,0,1
"ALPO","Millstone Run",2019-06-05,"MRM","Red-bellied Woodpecker",40,FALSE,0,2
"ALPO","Millstone Run",2019-06-05,"MRM","Red-bellied Woodpecker",43.5,FALSE,0,1
"ALPO","Millstone Run",2019-06-05,"MRM","Red-bellied Woodpecker",44.5,FALSE,0,1
"ALPO","Millstone Run",2019-06-05,"MRM","Red-bellied Woodpecker",47,FALSE,0,1
"ALPO","Millstone Run",2019-06-12,"MRM","Downy Woodpecker",40,FALSE,0,1
"ALPO","Millstone Run",2019-06-12,"MRM","Hairy Woodpecker",41.5,FALSE,0,1
"ALPO","Millstone Run",2019-06-12,"MRM","Red-bellied Woodpecker",40,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Downy Woodpecker",46,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Downy Woodpecker",47.25,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Hairy Woodpecker",37.75,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Hairy Woodpecker",39.25,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Pileated Woodpecker",37.25,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Pileated Woodpecker",37.75,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Red-bellied Woodpecker",37.25,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Red-bellied Woodpecker",37.75,FALSE,0,2
"ALPO","Millstone Run",2021-06-03,"MRM","Red-bellied Woodpecker",39.25,FALSE,0,1
"ALPO","Millstone Run",2021-06-03,"MRM","Red-bellied Woodpecker",46,FALSE,0,1
"ALPO","Millstone Run",2021-06-08,"MRM","Downy Woodpecker",53.5,FALSE,0,2
"ALPO","Millstone Run",2021-06-08,"MRM","Red-bellied Woodpecker",49.75,FALSE,0,2
"ALPO","Millstone Run",2021-06-08,"MRM","Red-bellied Woodpecker",53.5,FALSE,0,1
"ALPO","Millstone Run",2022-06-09,"MRM","Hairy Woodpecker",45.5,FALSE,0,1
"ALPO","Millstone Run",2022-06-09,"MRM","Red-bellied Woodpecker",40.25,FALSE,0,1
"ALPO","Millstone Run",2022-06-23,"MRM","Downy Woodpecker",41,FALSE,0,1
"ALPO","Millstone Run",2022-06-23,"MRM","Hairy Woodpecker",38,FALSE,0,1
"ALPO","Millstone Run",2022-06-23,"MRM","Pileated Woodpecker",38,FALSE,0,1
"ALPO","Millstone Run",2022-06-23,"MRM","Red-bellied Woodpecker",37.5,FALSE,0,2
"ALPO","Millstone Run",2022-06-23,"MRM","Red-bellied Woodpecker",38,FALSE,0,1
"ALPO","Millstone Run",2023-06-07,"MRM","Pileated Woodpecker",32.5,FALSE,0,2
"ALPO","Millstone Run",2023-06-07,"MRM","Pileated Woodpecker",38.25,FALSE,0,1
"ALPO","Millstone Run",2023-06-07,"MRM","Red-bellied Woodpecker",32.5,FALSE,0,4
"ALPO","Millstone Run",2023-06-07,"MRM","Red-bellied Woodpecker",38,FALSE,0,1
"ALPO","Millstone Run",2023-06-07,"MRM","Red-bellied Woodpecker",38.25,FALSE,0,1
"ALPO","Millstone Run",2023-06-23,"MRM","Red-bellied Woodpecker",42.5,FALSE,0,1
"ALPO","Millstone Run",2023-06-23,"MRM","Red-bellied Woodpecker",43.75,FALSE,0,1
"ALPO","Millstone Run",2024-05-22,"MRM","Hairy Woodpecker",40,FALSE,0,1
"ALPO","Millstone Run",2024-05-22,"MRM","Pileated Woodpecker",39.5,FALSE,0,2
"ALPO","Millstone Run",2024-05-22,"MRM","Red-bellied Woodpecker",39.5,FALSE,0,5
"ALPO","Millstone Run",2024-05-29,"MRM","Hairy Woodpecker",36.5,FALSE,0,1
"ALPO","Millstone Run",2024-05-29,"MRM","Hairy Woodpecker",37,FALSE,0,1
"ALPO","Millstone Run",2024-05-29,"MRM","Pileated Woodpecker",36.25,FALSE,0,1
"ALPO","Millstone Run",2024-05-29,"MRM","Red-bellied Woodpecker",36,FALSE,0,1
"ALPO","Millstone Run",2024-05-29,"MRM","Red-bellied Woodpecker",36.25,FALSE,0,1
"ALPO","Millstone Run",2024-05-29,"MRM","Red-bellied Woodpecker",36.5,FALSE,0,1
"ALPO","Millstone Run",2024-05-29,"MRM","Red-bellied Woodpecker",37,FALSE,0,2
"ALPO","Millstone Run",2024-05-29,"MRM","Red-bellied Woodpecker",37.25,FALSE,0,1
"ALPO","Millstone Run",2025-06-03,"MRM","Red-bellied Woodpecker",45,FALSE,0,1
"BLUE","Indian Branch",2014-06-11,"BDR","Pileated Woodpecker",43,FALSE,4,3
"BLUE","Indian Branch",2016-06-02,"MRM","Downy Woodpecker",50.75,FALSE,2,1
"BLUE","Indian Branch",2016-06-02,"MRM","Downy Woodpecker",51.25,FALSE,2,1
"BLUE","Indian Branch",2016-06-02,"MRM","Pileated Woodpecker",51.25,FALSE,2,1
"BLUE","Indian Branch",2021-06-02,"NMF","Downy Woodpecker",44.75,FALSE,3,1
"BLUE","Indian Branch",2021-06-19,"NMF","Downy Woodpecker",43,FALSE,3,1
"BLUE","Indian Branch",2021-06-19,"NMF","Red-bellied Woodpecker",43.25,FALSE,3,1
"BLUE","Indian Branch",2024-05-31,"NMF","Hairy Woodpecker",45,FALSE,0,1
"BLUE","Indian Branch",2024-05-31,"NMF","Pileated Woodpecker",45,FALSE,0,1
"BLUE","Indian Branch",2024-05-31,"NMF","Pileated Woodpecker",46,FALSE,3,1
"BLUE","Indian Branch",2024-05-31,"NMF","Red-bellied Woodpecker",45,FALSE,0,1
"BLUE","Indian Branch",2024-05-31,"NMF","Red-bellied Woodpecker",46.25,FALSE,0,1
"BLUE","Indian Branch",2025-05-25,"NMF","Red-bellied Woodpecker",54,FALSE,3,1
"BLUE","Jarrell Branch",2012-06-03,"DDG","Red-bellied Woodpecker",49,FALSE,4,1
"BLUE","Jarrell Branch",2013-06-05,"BDR","Pileated Woodpecker",49,FALSE,4,1
"BLUE","Jarrell Branch",2014-06-04,"MRM","Pileated Woodpecker",48,FALSE,0,1
"BLUE","Jarrell Branch",2016-05-24,"SAS","Pileated Woodpecker",60,FALSE,3,1
"BLUE","Jarrell Branch",2016-05-24,"SAS","Pileated Woodpecker",60.25,FALSE,4,1
"BLUE","Jarrell Branch",2016-06-01,"MRM","Pileated Woodpecker",50,FALSE,4,1
"BLUE","Jarrell Branch",2016-06-01,"MRM","Pileated Woodpecker",52.25,FALSE,4,1
"BLUE","Jarrell Branch",2018-05-16,"MRM","Downy Woodpecker",48,FALSE,1,1
"BLUE","Jarrell Branch",2018-05-16,"MRM","Pileated Woodpecker",48,FALSE,1,1
"BLUE","Jarrell Branch",2021-06-02,"SAS","Hairy Woodpecker",42.5,FALSE,4,1
"BLUE","Jarrell Branch",2021-06-19,"SAS","Pileated Woodpecker",44.75,FALSE,3,1
"BLUE","Jarrell Branch",2021-06-19,"SAS","Red-bellied Woodpecker",40,FALSE,4,1
"BLUE","Jarrell Branch",2021-06-19,"SAS","Red-bellied Woodpecker",40.5,FALSE,4,1
"BLUE","Jarrell Branch",2022-05-18,"SAS","Downy Woodpecker",48.5,FALSE,4,2
"BLUE","Jarrell Branch",2022-05-18,"SAS","Downy Woodpecker",48.75,FALSE,4,2
"BLUE","Jarrell Branch",2022-05-18,"SAS","Red-bellied Woodpecker",48.75,FALSE,4,1
"BLUE","Jarrell Branch",2022-06-02,"SAS","Downy Woodpecker",52.75,FALSE,3,2
"BLUE","Jarrell Branch",2022-06-02,"SAS","Red-bellied Woodpecker",47.75,FALSE,4,1
"BLUE","Jarrell Branch",2022-06-02,"SAS","Red-bellied Woodpecker",48,FALSE,4,1
"BLUE","Jarrell Branch",2024-05-15,"MRM","Red-bellied Woodpecker",44,FALSE,0,1
"BLUE","Jarrell Branch",2024-05-31,"SAS","Red-bellied Woodpecker",45.5,FALSE,4,2
"BLUE","Jarrell Branch",2024-05-31,"SAS","Red-bellied Woodpecker",50,FALSE,3,1
"BLUE","Jarrell Branch",2025-05-25,"SAS","Pileated Woodpecker",58.25,FALSE,4,1
"BLUE","Little Bluestone River",2011-06-05,"NMF","Hairy Woodpecker",49,FALSE,0,1
"BLUE","Little Bluestone River",2011-06-05,"NMF","Hairy Woodpecker",49,FALSE,3,2
"BLUE","Little Bluestone River",2011-06-05,"NMF","Pileated Woodpecker",49,FALSE,0,1
"BLUE","Little Bluestone River",2011-06-05,"NMF","Red-bellied Woodpecker",49,FALSE,1,1
"BLUE","Little Bluestone River",2012-06-18,"RTL","Downy Woodpecker",49,FALSE,0,2
"BLUE","Little Bluestone River",2012-06-18,"RTL","Hairy Woodpecker",49,FALSE,2,1
"BLUE","Little Bluestone River",2012-06-18,"RTL","Pileated Woodpecker",49,FALSE,2,1
"BLUE","Little Bluestone River",2013-06-06,"BDR","Downy Woodpecker",52.75,FALSE,2,1
"BLUE","Little Bluestone River",2014-06-03,"MRM","Downy Woodpecker",40,FALSE,0,1
"BLUE","Little Bluestone River",2014-06-03,"MRM","Hairy Woodpecker",40,FALSE,0,1
"BLUE","Little Bluestone River",2014-06-03,"MRM","Hairy Woodpecker",48.5,FALSE,0,1
"BLUE","Little Bluestone River",2016-05-25,"NMF","Downy Woodpecker",44.75,FALSE,1,1
"BLUE","Little Bluestone River",2016-05-25,"NMF","Red-bellied Woodpecker",50.5,FALSE,2,1
"BLUE","Little Bluestone River",2016-06-02,"MRM","Hairy Woodpecker",45,FALSE,0,1
"BLUE","Little Bluestone River",2016-06-02,"MRM","Red-bellied Woodpecker",44.25,FALSE,0,1
"BLUE","Little Bluestone River",2018-05-17,"MRM","Hairy Woodpecker",50,FALSE,1,1
"BLUE","Little Bluestone River",2018-05-30,"SAS","Pileated Woodpecker",52.5,FALSE,4,1
"BLUE","Little Bluestone River",2021-05-20,"SAS","Red-bellied Woodpecker",43.5,FALSE,2,1
"BLUE","Little Bluestone River",2021-06-14,"SAS","Red-bellied Woodpecker",46.5,FALSE,2,1
"BLUE","Little Bluestone River",2022-05-19,"SAS","Red-bellied Woodpecker",44,FALSE,3,1
"BLUE","Little Bluestone River",2022-05-19,"SAS","Red-bellied Woodpecker",44.5,FALSE,3,2
"BLUE","Little Bluestone River",2022-05-19,"SAS","Red-bellied Woodpecker",45.25,FALSE,3,1
"BLUE","Little Bluestone River",2022-06-01,"SAS","Red-bellied Woodpecker",44.75,FALSE,3,1
"BLUE","Little Bluestone River",2022-06-01,"SAS","Red-bellied Woodpecker",45.5,FALSE,3,1
"BLUE","Little Bluestone River",2024-05-14,"MRM","Red-bellied Woodpecker",39.25,FALSE,0,1
"BLUE","Little Bluestone River",2024-05-14,"MRM","Red-bellied Woodpecker",39.5,FALSE,0,1
"BLUE","Little Bluestone River",2024-05-29,"SAS","Pileated Woodpecker",43,FALSE,2,2
"BLUE","Little Bluestone River",2024-05-29,"SAS","Red-bellied Woodpecker",43,FALSE,3,1
"BLUE","Little Bluestone River",2024-05-29,"SAS","Red-bellied Woodpecker",43.75,FALSE,3,1
"BLUE","Little Bluestone River",2025-05-14,"SAS","Pileated Woodpecker",52,FALSE,3,1
"BLUE","Little Bluestone River",2025-05-14,"SAS","Red-bellied Woodpecker",52,FALSE,3,1
"BLUE","Mountain Creek",2011-05-28,"GAL","Pileated Woodpecker",56.75,FALSE,2,1
"BLUE","Mountain Creek",2011-06-06,"SAS","Hairy Woodpecker",49,FALSE,2,1
"BLUE","Mountain Creek",2011-06-06,"SAS","Pileated Woodpecker",49,FALSE,2,1
"BLUE","Mountain Creek",2011-06-06,"SAS","Pileated Woodpecker",50,FALSE,2,1
"BLUE","Mountain Creek",2011-06-06,"SAS","Pileated Woodpecker",54.75,FALSE,2,1
"BLUE","Mountain Creek",2013-06-04,"BDR","Hairy Woodpecker",56.75,FALSE,3,1
"BLUE","Mountain Creek",2013-06-04,"BDR","Pileated Woodpecker",51.25,FALSE,2,2
"BLUE","Mountain Creek",2013-06-06,"BDR","Pileated Woodpecker",51,FALSE,2,1
"BLUE","Mountain Creek",2014-06-03,"MRM","Hairy Woodpecker",46.75,FALSE,0,1
"BLUE","Mountain Creek",2014-06-03,"MRM","Pileated Woodpecker",44.5,FALSE,0,1
"BLUE","Mountain Creek",2014-06-11,"BDR","Downy Woodpecker",53.25,FALSE,3,1
"BLUE","Mountain Creek",2014-06-11,"BDR","Hairy Woodpecker",49.5,FALSE,2,1
"BLUE","Mountain Creek",2016-05-25,"SAS","Downy Woodpecker",55.5,FALSE,2,1
"BLUE","Mountain Creek",2016-06-01,"MRM","Downy Woodpecker",49.75,FALSE,2,1
"BLUE","Mountain Creek",2021-05-31,"NMF","Red-bellied Woodpecker",47.5,FALSE,2,1
"BLUE","Mountain Creek",2022-05-19,"NMF","Red-bellied Woodpecker",46.5,FALSE,3,1
"BLUE","Mountain Creek",2022-05-19,"NMF","Red-bellied Woodpecker",60.75,FALSE,2,1
"BLUE","Mountain Creek",2022-06-01,"NMF","Pileated Woodpecker",63,FALSE,3,1
"BLUE","Mountain Creek",2024-05-14,"MRM","Pileated Woodpecker",45,FALSE,0,1
"BLUE","Mountain Creek",2024-05-14,"MRM","Pileated Woodpecker",45.25,FALSE,0,1
"DEWA","Adams Creek 03",2015-06-17,"SAS","Pileated Woodpecker",53.75,FALSE,3,1
"DEWA","Adams Creek 03",2017-06-20,"KMS","Pileated Woodpecker",53,FALSE,3,1
"DEWA","Adams Creek 03",2019-06-26,"BXW","Hairy Woodpecker",49,FALSE,4,1
"DEWA","Adams Creek 03",2019-06-26,"BXW","Pileated Woodpecker",48.25,FALSE,4,1
"DEWA","Adams Creek 03",2019-06-26,"BXW","Pileated Woodpecker",49,FALSE,4,1
"DEWA","Adams Creek 03",2019-06-26,"BXW","Pileated Woodpecker",53.25,FALSE,3,1
"DEWA","Adams Creek 03",2023-06-19,"NMF","Hairy Woodpecker",48,FALSE,4,1
"DEWA","Adams Creek 03",2023-06-19,"NMF","Red-bellied Woodpecker",47.5,FALSE,4,1
"DEWA","Adams Creek 03",2023-06-30,"NMF","Hairy Woodpecker",55.5,FALSE,4,1
"DEWA","Adams Creek 03",2025-06-27,"NMF","Pileated Woodpecker",48,FALSE,3,1
"DEWA","Adams Creek 14",2014-06-10,"CXR","Pileated Woodpecker",41.5,FALSE,1,1
"DEWA","Adams Creek 14",2018-06-29,"NMF","Downy Woodpecker",43.5,FALSE,3,1
"DEWA","Adams Creek 14",2022-06-20,"SAS","Downy Woodpecker",42.25,FALSE,3,1
"DEWA","Adams Creek 14",2022-06-30,"NMF","Downy Woodpecker",40.75,FALSE,4,1
"DEWA","Adams Creek 14",2022-06-30,"NMF","Downy Woodpecker",42,FALSE,4,1
"DEWA","Adams Creek 14",2022-06-30,"NMF","Pileated Woodpecker",39.5,FALSE,4,1
"DEWA","Adams Creek 14",2022-06-30,"NMF","Pileated Woodpecker",40,FALSE,4,1
"DEWA","Adams Creek 14",2024-06-17,"NMF","Pileated Woodpecker",45.5,FALSE,3,1
"DEWA","Adams Creek 14",2024-06-28,"NMF","Downy Woodpecker",39.5,FALSE,3,1
